file,frame,path,skater,x,y,z
Axel_1.npy,0,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,4.173385,6.24332,-14.847134
Axel_1.npy,1,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,4.176251,5.886968,-15.066287
Axel_1.npy,2,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,4.0561323,5.427062,-15.279326
Axel_1.npy,3,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,3.8871365,4.9852467,-15.46104
Axel_1.npy,4,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,3.6405902,4.3116794,-15.802482
Axel_1.npy,5,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,3.3647988,3.5559332,-16.115139
Axel_1.npy,6,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,3.201245,3.216185,-16.239405
Axel_1.npy,7,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,3.0704355,2.9699264,-16.220043
Axel_1.npy,8,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,2.71183,2.2705467,-16.031887
Axel_1.npy,9,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,2.192321,1.6141474,-15.947421
Axel_1.npy,10,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,1.8454815,1.2523504,-15.927257
Axel_1.npy,11,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,1.5746747,0.95667654,-15.835913
Axel_1.npy,12,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,1.0903081,0.4811623,-15.733782
Axel_1.npy,13,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,0.35131755,-0.14797077,-15.653494
Axel_1.npy,14,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,-0.016909283,-0.42029908,-15.519877
Axel_1.npy,15,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,-0.28423938,-0.51334804,-15.265911
Axel_1.npy,16,D:/work/讨论/FS-Jump3D-main/FS-Jump3D-main/data/npy/Skater_A/Axel\Axel_1.npy,Skater_A,-0.57191676,-0.6612084,-15.040678
